O22C9ASZ094W,O'2nd,잡화,여성슈즈,부츠,페이크 레더 펄 부츠,368000,"날렵한 쉐입의 토 디자인과 부분적으로 더해진 스티치 라인이 언뜻 보기에 웨스턴 부츠의 실루엣을 연상시키는 슈즈로 뒷 굽에 더해진 펄 라인이 영롱한 매력을 더해줍니다. 부드럽고 유연한 페이크 레더 텍스처가 진짜 레더 못지 않은 퀄리티를 자랑하며, F/W 시즌에 스타일리시하게 연출하기 좋은 아이템입니다.",,구두/신발,갑피 PU,"IV(IVORY), BK(BLACK)","240, 245, 230, 235",한국,(주)한섬,202208
MN2C9ASZ098W,MINE,잡화,여성슈즈,부츠,레더 엠블럽 스트랩 부츠,595000,은은한 광택감이 있는 부드럽고 유연한 소가죽 소재를 사용하여 완성도 높은 퀄리티를 자랑하는 부츠입니다. 언밸런스한 기장감이 특징으로 한쪽 옆에 엠블럼을 블록한 스트랩을 더해 섬세한 디테일 포인트를 주었습니다.,,구두/신발,갑피 ZF,"BK(BLACK), OL(OLIVE)","245, 240, 230, 235, 255",한국,(주)한섬,202208
LC2C9ASZ100W,LANVIN COLLECTION,잡화,여성슈즈,부츠,레더 인타르시아 앵클 부츠,525000,"광택감이 있는 부드럽고 유연한 소가죽 소재로 높은 퀄리티를 자랑하는 앵클 부츠로 날렵한 실루엣으로 세련미를 더해주었습니다. 앞면에 로고 인타르시아를 블록한 밴딩을 더해 섬세한 디테일 포인트를 주었습니다,",,구두/신발,갑피 ZF,BK(BLACK),"240, 245, 230, 250",한국,(주)한섬,202209
LC2C9ASZ092W,LANVIN COLLECTION,잡화,여성슈즈,부츠,레더 앵클 부츠,495000,"부드럽고 유연한 천연 양가죽 소재가 높은 퀄리티를 자랑하는 앵클 부츠로 날렵한 쉐입의 토 디자인이 세련미를 더해줍니다. 옆면 한쪽에 브랜드 엠블럼 장식을 더해 아이덴티티를 살렸으며, F/W 시즌에 스타일리시하게 연출하기 좋은 아이템입니다.",,구두/신발,갑피 ZG,"DR(DARK GREEN), CR(CREAM)","245, 240, 255, 230, 235, 250",한국,(주)한섬,202208
LC2C9ASZ091W,LANVIN COLLECTION,잡화,여성슈즈,부츠,레더 첼시 부츠,495000,"부드럽고 유연한 천연 가죽 소재가 높은 퀄리티를 자랑하는 부츠로 청키한 굽이 트렌디한 실루엣을 선사합니다. 옆면에 밴딩을 더해 편안한 착화감을 자랑하며, 앞면에 브랜드의 로고를 메탈로 새겨 아이덴티티를 살렸습니다.",,구두/신발,갑피 ZF,"BK(BLACK), EC(ECRU)","250, 245, 240, 230, 235, 225, 255",한국,(주)한섬,202208
O22C9ASZ092W,O'2nd,잡화,여성슈즈,부츠,레더 크리스탈 워커,438000,"부드럽고 유연한 천연 가죽 소재가 높은 퀄리티를 자랑하는 워커로 앞면에 큼직한 크리스탈이 눈길을 끕니다. 청키하고 볼드한 아웃솔로 트렌디한 무드를 자아내며, 다리를 길어보이도록 연출해줍니다. 러블리한 리본을 크리스탈과 함께 앞면에 더해 브랜드만의 페미닌한 매력을 더해주었습니다.",,구두/신발,갑피 ZF,BK(BLACK),"240, 235, 245, 230",한국,(주)한섬,202208
OB2C9ASZ093W,OBZEE,잡화,여성슈즈,부츠,레더 스트랩 롱 부츠,635000,"다리 라인을 부드럽게 감싸주는 슬림한 부츠로 날렵한 실루엣이 돋보이며, 세련미를 더해줍니다. 두개의 스트랩을 엮어 오브제만의 섬세한 디테일 포인트를 더해주었으며, 은은한 광택감이 있는 양가죽 소재를 사용하여 견고하게 완성하였습니다.",,구두/신발,갑피 ZG,BK(BLACK),"235, 240, 245",한국,(주)한섬,202209
MN2C9ASZ101W,MINE,잡화,여성슈즈,부츠,스웨이드 체인 앵클 부츠,465000,"부드럽고 유연한 천연 양가죽 소재가 고급스러운 퀄리티를 자랑하는 앵클 부츠로 발목에 더해진 체인이 섬세한 디테일을 더해줍니다. 체인의 쉐입으로 디자인된 마인만의 엠블럼을 블록해 아이덴티티를 살렸으며, 발목에 더해진 스냅 버튼으로 가죽을 턴업하여 다양한 스타일 연출이 가능한 투웨이 제품입니다.",,구두/신발,갑피 ZG,"KG(CHARCOAL GREY), LE(LIGHT BEIGE)","245, 240, 230, 235, 255",한국,(주)한섬,202209
CM2C9ASZ757WS,the CASHMERE,잡화,여성슈즈,부츠,[INTENTIONALLY BLANK] 처키 롱 부츠,655000,"유연하고 부드러운 천연 소가죽 소재를 사용하여 편안한 착용감을 선사하는 부츠입니다. 라운드 쉐입의 토와 볼드한 굽이 눈길을 끌며, 가장 활용도가 높은 길이감으로 다양한 룩에 두루 매치하기 좋은 아이템입니다.","- INTENTIONALLY BLANK는 로스앤젤레스를 베이스로한 슈즈,라이프 스타일 브랜드입니다. 브랜드 CEO의 특별한 감성이 더해져, 클래식하지만 모던한 컬렉션을 선보이고있습니다.",구두/신발,갑피 ZF,BK(BLACK),"39, 40, 38, 37, 36",중국,INTENTIONALLY BLANK,202207
CM2C9ASZ756WS,the CASHMERE,잡화,여성슈즈,부츠,[INTENTIONALLY BLANK] 엘리 롱 부츠,645000,발보다 여유를 주어 마감한 아웃솔이 눈길을 끄는 부츠로 부드럽고 유연한 소가죽 소재를 사용하여 높은 퀄리티를 자랑합니다. 베이직한 길이감으로 팬츠나 스커트 어디에나 매치하기 좋은 머스트 해브 아이템입니다.,"- INTENTIONALLY BLANK는 로스앤젤레스를 베이스로한 슈즈,라이프 스타일 브랜드입니다. 브랜드 CEO의 특별한 감성이 더해져, 클래식하지만 모던한 컬렉션을 선보이고있습니다.",구두/신발,갑피 ZF,"BK(BLACK), WT(WHITE)","36, 37, 40, 38, 39",중국,INTENTIONALLY BLANK,202207
SJ2C9ASZ098W,SJSJ,잡화,여성슈즈,부츠,페이크 레더 롱 부츠,425000,"부드러운 터치감의 재조합 가죽을 사용한 친환경적인 부츠로 어느 각도에서 보아도 은은한 광택감이 돋보입니다. 뒷면에 브랜드 로고를 새긴 탭을 더해 브랜드만의 아이덴티티가 물씬 느껴지며, 볼드한 굽이 매력적인 아이템입니다.",,구두/신발,갑피 162,"BK(BLACK), KK(KHAKI)","240, 245, 230, 235",한국,(주)한섬,202208
SJ2C9ASZ093W,SJSJ,잡화,여성슈즈,부츠,페이크 레더 스퀘어토 롱 부츠,395000,"옆 라인이 날렵하고 슬림한 스퀘어 쉐입의 토 디자인이 페미닌한 무드를 선사하는 롱 부츠입니다. 쿠셔닝이 있는 인솔이 편안한 착화감을 자아내며, 간결한 디자인으로 다양한 룩에 두루 매치하기 좋은 아이템입니다.",,구두/신발,갑피 162,BK(BLACK),"240, 230, 235, 250, 245",한국,(주)한섬,202209
TM2C9ASZ096W,TIME,잡화,여성슈즈,부츠,[KAIA PICK] 레더 컬러 블록 롱 부츠,565000,"은은한 광택감이 있는 천연 소가죽 소재를 사용하여 고급스럽고 견고하게 완성한 부츠로 한쪽 옆에 밴딩을 더해 착화감을 살렸습니다. 청키한 배색 아웃솔이 눈길을 끌며, 키 높이 효과를 더해주었습니다.",,구두/신발,갑피 ZF,BK(BLACK),"230, 245, 240, 235, 250",한국,(주)한섬,202209
SY2C9ASZ105W,SYSTEM,잡화,여성슈즈,부츠,레더 롱 부츠,455000,부드럽고 유연한 소가죽 소재가 높은 퀄리티를 자랑하는 롱 부츠로 상단에 시스템만의 엠블럼 스트랩을 더해 포인트를 살렸습니다. 다양한 룩과 트렌디하게 연출하기 좋은 아이템입니다.,,구두/신발,갑피 162,BK(BLACK),"245, 240, 235, 230, 250",한국,(주)한섬,202208
O22C9ASZ097W,O'2nd,잡화,여성슈즈,부츠,레더 체인 크리스탈 앵클 부츠,438000,"은은한 광택감이 있는 레더 소재로 고급스럽게 완성하였으며, 발목을 부드럽게 감싸주는 슬림한 실루엣이 돋보이는 부츠입니다. 앞면에 크리스탈을 블록한 엠블럼 장식과 체인 라인을 더해 포인트 디테일을 살렸으며, 청키한 아웃솔로 키높이 효과를 주었습니다.",,구두/신발,갑피 ZF,BK(BLACK),"240, 245, 235, 230",한국,(주)한섬,202208
LC2C9ASZ099W,LANVIN COLLECTION,잡화,여성슈즈,부츠,레더 롱 부츠,545000,"F/W 시즌 무드가 물씬 드러나며, 부드럽고 유연한 천연가죽 소재로 높은 퀄리티를 자랑하는 롱 부츠입니다. 앞면에 브랜드의 엠블럼 장식을 더해 세련되게 완성했으며, 다양한 룩에 스타일리시하게 포인트 아이템으로 연출하기 좋습니다.",,구두/신발,갑피 ZF,"BR(BROWN), DE(SAND BEIGE)","240, 245, 235, 250, 230",한국,(주)한섬,202209
SJ2C9ASZ094W,SJSJ,잡화,여성슈즈,부츠,레더 첼시 부츠,395000,"앵클 길이와 볼드한 굽이 매력적인 첼시 부츠로 F/W 시즌에 다양하게 활용하기 좋은 에센셜한 제품입니다. 양옆에 밴딩이 있으며, 레더를 조각조각 덧댄 섬세한 디테일이 돋보입니다. 디자인에 비해 가벼운 무게감으로 편안한 착화감을 선사합니다.",,구두/신발,갑피 ZF,"EC(ECRU), BK(BLACK)","240, 245, 230, 235",한국,(주)한섬,202208
SJ2C9ASZ100W,SJSJ,잡화,여성슈즈,부츠,엠블럼 워커,425000,"리얼 소가죽 소재를 사용하여 완성도를 높인 워커입니다. 발목 부분에 SJSJ만의 엠블럼을 더해 브랜드 아이덴티티를 선사하며, 토 부분에는 은은한 광택감이 있는 다른 텍스처를 블록하여 디테일을 섬세하게 완성했습니다.",,구두/신발,갑피 HZ,BK(BLACK),"240, 235, 230, 245",한국,(주)한섬,202208
TM2C9ASZ095W,TIME,잡화,여성슈즈,부츠,[KAIA PICK] 레더 밴딩 블록 앵클 부츠,495000,"부드럽고 유연한 소가죽 소재로 견고하게 완성한 앵클 부츠로 발목을 부드럽게 감싸주는 슬림한 실루엣이 돋보입니다. 청키한 아웃솔이 키 높이 효과를 주며, 가벼운 무게감과 한쪽 옆에 밴딩을 더해 착화감을 살렸습니다.",,구두/신발,갑피 ZF,"BK(BLACK), GE(GREIGE)","230, 250, 245, 235, 240",한국,(주)한섬,202208
TM2C9ASZ012W,TIME,잡화,여성슈즈,부츠,레더 엠블럼 앵클 부츠,495000,"부드럽고 유연한 양가죽 소재로 견고하게 완성한 앵클 부츠로 발목을 부드럽게 감싸주는 슬림한 실루엣이 돋보입니다. 스퀘어 토 디자인으로 세련미를 더해주었으며, 앞면에 입체감 있는 엠블럼 장식을 더해 타임만의 아이덴티티를 선보입니다. 간결한 디자인으로 어디에나 두루 매치하기 좋은 활용도 높은 아이템입니다.",,구두/신발,갑피 ZG,"BK(BLACK), CM(CAMEL)","245, 240, 230, 250, 235",한국,(주)한섬,202208
TM2C9ASZ011W,TIME,잡화,여성슈즈,부츠,[KAIA PICK] 레더 롱 부츠,635000,은은한 광택감이 돌며 부드럽고 유연한 천연 소가죽 소재가 높은 퀄리티를 선사하는 롱 부츠입니다. 트렌디한 실루엣으로 F/W 시즌에 다양한 룩과 스타일리시하게 연출하기 좋습니다.,,구두/신발,갑피 ZF,"DB(DARK BROWN), BK(BLACK)","245, 240, 235, 250, 230",한국,(주)한섬,202208
MN2C9ASZ097W,MINE,잡화,여성슈즈,부츠,레더 앵클 부츠,425000,부드럽고 유연한 천연 가죽 소재가 높은 퀄리티를 자랑하는 앵클 부츠로 날렵한 앞코 디자인이 트렌디한 무드를 선사합니다. F/W 시즌에 스타일리시하게 연출하기 좋은 아이템입니다.,,구두/신발,갑피 ZG,"DN(DARK NAVY), SP(SEPIA)","240, 245, 230, 250, 235, 255",한국,(주)한섬,202208
LC2C9ASZ093W,LANVIN COLLECTION,잡화,여성슈즈,부츠,엠블럼 레더 앵클 부츠,495000,"발목을 부드럽게 감싸주어 슬림한 실루엣을 강조하여주는 앵클 부츠로 스퀘어 토 디자인으로 세련된 무드를 더해주었습니다. 서로 다른 두 가지의 텍스처가 어우러져 견고하게 완성하였으며, 한쪽 옆에 입체감있는 엠블럼 장식을 더해 아이덴티티를 선보입니다.",,구두/신발,갑피 ZG,BK(BLACK),"240, 235, 245, 230, 250",한국,(주)한섬,202208
SY2C9ASZ095W,SYSTEM,잡화,여성슈즈,부츠,레더 앵클 부츠,395000,"날렵한 라인과 슬림한 실루엣을 자랑하는 부츠로 다양한 F/W 룩에 매치하기 좋은 에센셜한 제품입니다. 한쪽 옆에 리브를 블록하여 레더 텍스처를 더해 섬세한 포인트 디테일을 살렸으며, 부드럽고 유연한 텍스처가 고급스러움을 전해줍니다.",,구두/신발,갑피 ZF,"BK(BLACK), BG(BEIGE)","245, 240, 230, 235, 250",한국,(주)한섬,202208
SY2C9ASZ097W,SYSTEM,잡화,여성슈즈,부츠,스퀘어 토 레더 부츠,365000,"부드러운 터치감을 자랑하는 천연 양가죽 소재를 사용하여 고급스럽고 견고하게 완성한 이 부츠는 다리 라인을 부드럽게 감싸주며 무릎까지 오는 긴 기장감이 돋보입니다. 과하지 않은 스퀘어토로 세련미를 더해주었으며, 간결한 디자인으로 높은 활용도를 자랑합니다.",,구두/신발,갑피 ZG,"BR(BROWN), BK(BLACK)","235, 240, 245, 230, 250",한국,(주)한섬,202207
OB2C9ASZ095W,OBZEE,잡화,여성슈즈,부츠,크리스탈 앵클 부츠,525000,화려하게 세팅된 다양한 쉐입의 크리스탈이 조화롭게 배치되어 눈길을 끄는 앵클 부츠입니다. 부드러운 스웨이드 텍스처가 F/W 시즌 무드를 물씬 풍기는 아이템으로 스타일리시하게 매치하기 좋습니다.,,구두/신발,갑피 ZG,BK(BLACK),"255, 245, 240, 235, 250",한국,(주)한섬,202208
SJ2C9ASZ099W,SJSJ,잡화,여성슈즈,부츠,리브 블록 레더 앵클 부츠,365000,"부드럽고 유연한 레더 소재를 사용하여 고급스럽고 견고하게 완성한 앵클 부츠로 부분적으로 리브를 블록하여 발목을 감싸주어 착화감을 살렸습니다. 날렵한 라인과 슬림한 실루엣이 돋보이며, 뒷면에 엠블럼 장식을 블록하여 섬세한 디테일 포인트를 더해주었습니다.",,구두/신발,갑피 ZG,"DB(DARK BROWN), LE(LIGHT BEIGE)","240, 250, 235, 230, 245",한국,(주)한섬,202208
RO2C7ASZ007W,ROCHAS,잡화,여성슈즈,부츠,레더 앵클 부츠,1580000,"부드럽고 유연한 소가죽 소재가 높은 퀄리티를 자랑하는 부츠입니다. 상단에 로샤스의 엠블럼을 더해 아이덴티티를 살렸으며, 발목에 더해진 스트랩과 트렌디한 쉐입의 힐의 디자인에서 브랜드만의 스타일리시한 감성을 느낄 수 있습니다.",,구두/신발,겉감 소가죽 100%(BK),BK(BLACK),"230, 235, 245, 240",이탈리아,ROCHAS,202208
MN2C9ASZ100W,MINE,잡화,여성슈즈,부츠,엠블럼 레더 앵클 부츠,425000,"부드럽고 유연한 양가죽 소재를 사용하여 고급스럽고 견고하게 완성한 앵클 부츠입니다. 과하지 않은 스퀘어토 디자인으로 세련미를 더해주었으며, 입체감 있는 톤 온 톤 엠블럼 장식을 더해 마인만의 아이덴티티가 돋보입니다.",,구두/신발,갑피 ZG,"WN(WINE), BK(BLACK)","230, 255, 235, 245, 240",한국,(주)한섬,202208
OB2C9ASZ092W,OBZEE,잡화,여성슈즈,부츠,[FWOBZEE] 크리스탈 & 시퀸 라인 앵클 부츠,495000,"뒷면에 은은하게 반짝이는 시퀸 라인과 힐에 더해진 화려한 크리스탈 세팅이 눈길을 사로잡는 앵클 부츠입니다. 날렵한 앞코 디자인과 스웨이드 텍스처가 어우러져 트렌디한 무드를 자아내며, 다양한 룩에 포인트 아이템으로 연출하기 좋습니다.",,구두/신발,갑피 ZG,"TP(TAUPE), BK(BLACK)","245, 240, 250, 255, 235",한국,(주)한섬,202207
OB2C9ASZ096W,OBZEE,잡화,여성슈즈,부츠,[FWOBZEE] 스퀘어 토 앵클 부츠,395000,"어느 각도에서 보아도 은은하게 빛이 나는 텍스처와 레더 소재를 사용하여 완성한 스퀘어 토 디자인의 부츠입니다. 날렵한 굽의 쉐입이 한층 스타일리시한 무드를 연출해주며, 뒷면에 브랜드 엠블럼을 블록해 오브제만의 감각적인 무드를 자아냅니다.",,구두/신발,갑피 PL,"SV(SILVER), BK(BLACK)","240, 245, 235, 250",한국,(주)한섬,202208
